Q.No,Questions,Marks,BL,CO,Unit No
1,Write about Nature of Business Economics,2M,L4,CO1,UNIT-I
2,Distinguish the Micro and Macro Economics,2M,L4,CO1,UNIT-I
7,Explain the Supply function,2M,L2,CO2,UNIT-II
8,What is Law of Demand,2M,L1,CO2,UNIT-II
9,What is Demand Forecasting,2M,L1,CO2,UNIT-II
13,Explain Production Function,2M,L1,CO3,UNIT-III
14,Write about Different types of Production Function,2M,L2,CO3,UNIT-III
19,What is Accounting,2M,L1,CO4,UNIT-IV
20,What is the rule of double entry system,2M,L1,CO4,UNIT-IV
29,Explain any three limitations of Ratios,2M,L2,CO5,UNIT-V
30,Write the Uses of Ratio analysis,2M,L2,CO5,UNIT-V
